,Player,Points,Games
511,Bucky Bockhorn,775.7142857142857,80.0
512,Bucky McConnell,68.0,14.0
513,Bud Acton,77.0,23.0
514,Bud Grant,124.5,61.0
515,Bud Koper,247.0,54.0
516,Bud Ogden,128.5,47.0
517,Bud Olsen,166.0909090909091,79.0
518,Bud Stallworth,480.6,77.0
519,Buddy Hield,577.3333333333334,82.0
520,Buddy Jeannette*,193.0,37.0
521,Butch Beard,565.6363636363636,82.0
522,Butch Carter,394.625,81.0
523,Butch Feher,248.0,48.0
524,Butch Graves,5.0,4.0
525,Butch Lee,257.6666666666667,82.0
526,Butch Van,206.0,56.0
527,Byron Beck,250.0,53.0
528,Byron Dinkins,46.75,33.0
529,Byron Houston,208.75,79.0
530,Byron Irvin,150.33333333333334,50.0
531,Byron Mullens,226.71428571428572,65.0
532,Byron Scott,1078.357142857143,82.0
533,C.J. Kupec,202.0,82.0
534,C.J. McCollum,1032.0,80.0
535,C.J. Miles,583.8333333333334,78.0
536,C.J. Watson,434.4,82.0
537,C.J. Wilcox,44.0,23.0
538,Cal Bowdler,141.33333333333334,52.0
539,Cal Christensen,301.4,71.0
540,Cal Ramsey,50.0,11.0
541,Calbert Cheaney,602.0,82.0
542,Caldwell Jones,470.64285714285717,82.0
543,Calvin Booth,101.4375,71.0
544,Calvin Garrett,213.75,70.0
545,Calvin Murphy*,1380.6923076923076,82.0
546,Calvin Natt,799.6666666666666,80.0
547,Cameron Bairstow,22.0,18.0
548,Cameron Payne,150.75,57.0
549,Campy Russell,994.7777777777778,82.0
550,Carey Scurry,197.4,78.0
551,Caris LeVert,468.0,57.0
552,Carl Bailey,2.0,1.0
553,Carl Braun,831.2727272727273,72.0
554,Carl Henry,78.0,28.0
555,Carl Herrera,254.6,81.0
556,Carl Kilpatrick,3.0,2.0
557,Carl Landry,599.0,81.0
558,Carl McNulty,2.0,1.0
559,Carl Nicks,296.4,80.0
560,Carl Shaeffer,82.5,43.0
561,Carl Thomas,54.833333333333336,43.0
562,Carldell Johnson,27.0,15.0
563,Carlos Arroyo,300.05882352941177,77.0
564,Carlos Boozer,1075.076923076923,81.0
565,Carlos Clark,111.5,62.0
566,Carlos Delfino,514.375,82.0
567,Carlos Rogers,230.8,56.0
568,Carlos Terry,95.0,55.0
569,Carlton McKinney,11.0,7.0
570,Carmelo Anthony,1632.875,82.0
